11543,BIOL,1013,Introduction to Human Biology,MW,0100pm,0150pm
11567,BIOL,1013,Introduction to Human Biology,,,
11569,BIOL,1013,Intro to Human Biology Lab,,,
10808,BIOL,1114,Life I: Mol & Cell Concepts,TR,0800am,0920am
10817,BIOL,1114,Life I: Mol & Cell Conc Lab,W,0100pm,0250pm
10822,BIOL,1114,Life I: Mol & Cell Conc Lab,W,0330pm,0520pm
12339,BIOL,1114,Life I:Mol & Cell Concepts Lab,R,0100pm,0250pm
13583,BIOL,1114,Life I:Mol&CellConc-Honors,TR,0800am,0920am
13584,BIOL,1114,Life I:Mol&Cell Conc-Honors,W,0100pm,0250pm
12770,BIOL,1134,Anatomy & Physiology I,TR,0800am,0920am
12363,BIOL,1134,Anatomy & Physiology I,MWF,1000am,1050am
10850,BIOL,1134,Anatomy & Physiology I,TR,1100am,1220pm
14395,BIOL,1134,Anatomy & Physiology I,MWF,0900am,0950am
14059,BIOL,1134,Anatomy & Physiology I Lab,M,1000am,1150am
12771,BIOL,1134,Anatomy & Physiology I Lab,M,0100pm,0250pm
10860,BIOL,1134,Anatomy & Physiology I Lab,M,0530pm,0720pm
10861,BIOL,1134,Anatomy & Physiology I Lab,T,0930am,1120am
10864,BIOL,1134,Anatomy & Physiology I Lab,T,0100pm,0250pm
10865,BIOL,1134,Anatomy & Physiology I Lab,T,0300pm,0450pm
10868,BIOL,1134,Anatomy & Physiology I Lab,T,0530pm,0720pm
10869,BIOL,1134,Anatomy & Physiology I Lab,W,1000am,1150am
11669,BIOL,1134,Anatomy & Physiology I Lab,W,0100pm,0250pm
13852,BIOL,1134,Anatomy & Physiology I Lab,W,0300pm,0450pm
12366,BIOL,1134,Anatomy & Physiology I Lab,W,0530pm,0720pm
14396,BIOL,1134,Anatomy & Physiology I Lab,M,0300pm,0450pm
14397,BIOL,1134,Anatomy & Physiology I Lab,R,0930am,1120am
14419,BIOL,1134,Anatomy & Physiology I Lab,R,0530pm,0720pm
10878,BIOL,1214,Life II: Evolution & Ecology,TR,0930am,1050am
10882,BIOL,1214,Life II: Evo & Eco Lab,T,0100pm,0250pm
14213,BIOL,1214,LifeII:Evolution & Ecology-Lab,T,0330pm,0520pm
10897,BIOL,1234,Anatomy & Physiology II,TR,0930am,1050am
12382,BIOL,1234,Anatomy & Physiology II Lab,R,0100pm,0250pm
14704,BIOL,1234,Anatomy & Physiology II Lab,R,0300pm,0450pm
10923,BIOL,2144,Clinical Microbiology,MWF,0900am,0950am
10927,BIOL,2144,Fund Clinical Microbiology Lab,TR,0100pm,0220pm
14214,BIOL,2144,Fundmntl Clinical Micro-Lab,TR,0330pm,0450pm
14604,BIOL,3044,Bacteriology,TR,1100am,1220pm
14605,BIOL,3044,Bacteriology - Lab,M,0200pm,0450pm
14606,BIOL,3113,Biogeography,MWF,1000am,1050am
14607,BIOL,3214,Botany: Plant Life,MWF,0900am,0950am
14608,BIOL,3214,Botany: Plant Life-Lab,R,0200pm,0450pm
10969,BIOL,3334,Genetics,TR,0800am,0920am
10972,BIOL,3334,Genetics Lab,T,0200pm,0450pm
14609,BIOL,3344,Developmental Biology,MWF,1000am,1050am
14610,BIOL,3344,Developmental Biology - Lab,M,0530pm,0820pm
14611,BIOL,3644,Invertebrate Zoology,TR,0930am,1050am
14612,BIOL,3644,Invertebrate Zoology - Lab,W,0200pm,0450pm
14613,BIOL,4444,Histology,MWF,1100am,1150am
14614,BIOL,4444,Histology - Lab,T,0200pm,0450pm
14615,BIOL,4564,Plant Physiology,MWF,1100am,1150am
14616,BIOL,4564,Plant Physiology - Lab,W,0200pm,0450pm
12595,BIOL,4911,Ind Study in Biology,,,
10984,BIOL,4912,Ind Study in Biology,,,
10986,BIOL,4913,Ind Study in Biology,,,
14617,BIOL,5002,Discussions in Biology,M,0530pm,0720pm
14618,BIOL,5011,History of Biological Sciences,W,0530pm,0620pm
10999,BIOL,5242,Biochemistry Laboratory,R,0930am,1050am
11005,BIOL,5243,Biochemistry,TR,0930am,1050am
14619,BIOL,5564,Plant Physiology,MWF,1100am,1150am
14620,BIOL,5564,Plant Physiology - Lab,W,0200pm,0450pm
14621,BIOL,5813,Biomedical Ethics,R,0530pm,0820pm
11044,BIOL,5911,Ind Grad Study in Biology,,,
14475,BIOL,6113,Scientific Lit & Research,,,
12597,BIOL,6983,Thesis,,,
14348,BIOL,6983,Thesis,,,
14622,BIOL,6983,Thesis,,,
14623,BIOL,6983,Thesis,,,
14624,BIOL,6983,Thesis,,,
14625,BIOL,6983,Thesis,,,
11051,BIOL,6993,Thesis,,,
13734,BIOL,6993,Thesis,,,
13796,BIOL,6993,Thesis,,,
14326,BIOL,6993,Thesis,,,
14381,BIOL,6993,Thesis,,,
14626,BIOL,6993,Thesis,,,
13314,CHEM,1103,Introductory Chemistry,TR,0800am,0920am
13911,CHEM,1141,General Chemistry I Lab,T,0100pm,0450pm
13912,CHEM,1141,General Chemistry I Lab,W,0100pm,0450pm
13913,CHEM,1141,General Chemistry I Lab,R,0100pm,0450pm
13914,CHEM,1141,General Chemistry I Lab,T,0500pm,0850pm
13917,CHEM,1141,General Chemistry I Lab-Honors,T,0100pm,0450pm
11114,CHEM,1143,General Chemistry I,MWF,1100am,1150am
11117,CHEM,1143,General Chemistry I,TR,0930am,1050am
12453,CHEM,1143,General Chemistry I,MWF,0900am,0950am
13919,CHEM,1241,General Chemistry Lab II,M,0100pm,0450pm
11125,CHEM,1243,General Chemistry II,TR,0800am,0920am
11130,CHEM,1303,General-Organic-Biol Chemistry,TR,0800am,0920am
13921,CHEM,2001,Organic Chemistry I Lab,T,0100pm,0450pm
13922,CHEM,2001,Organic Chemistry I Lab,W,0100pm,0450pm
13924,CHEM,2001,Organic Chemistry I Lab,W,0530pm,0920pm
11149,CHEM,2003,Organic Chemistry I,MWF,1100am,1150am
14600,CHEM,2011,Organic Chemistry II Lab,M,0100pm,0450pm
14601,CHEM,2013,Organic Chemistry II,TR,0800am,0920am
11152,CHEM,3305,Analytical Chem I,MWF,1000am,1050am
11155,CHEM,3305,Analytical Chem I Lab,M,0100pm,0450pm
14602,CHEM,3504,Intro Environmental Chem,TR,1100am,1220pm
14603,CHEM,3504,Intro Environmental Chem-Lab,W,0100pm,0450pm
11161,CHEM,4001,Seminar,F,0100pm,0150pm
11016,CHEM,4242,Biochemistry Laboratory,R,0130pm,0520pm
11024,CHEM,4243,Biochemistry,TR,0930am,1050am
11166,CHEM,4900,Ind Study in Chemistry,,,
11169,CHEM,4911,Ind Study in Chemistry,,,
11172,CHEM,4922,Ind Study in Chemistry,,,
11175,CHEM,4933,Ind Study in Chemistry,,,
12674,CMPS,1013,Computer Concepts & Applicatns,,,
12202,CMPS,1023,The Digital Culture,MWF,1000am,1050am
13554,CMPS,1023,The Digital Culture,,,
11401,CMPS,1044,Computer Science I,MWF,1100am,1150am
12061,CMPS,1044,Computer Science I,TR,1100am,1220pm
13895,CMPS,1044,Computer Science I-Lab,R,0100pm,0300pm
14765,CMPS,1044,Computer Science I-Lab,F,0100pm,0300pm
14766,CMPS,1044,Computer Science I-Lab,F,0300pm,0500pm
11412,CMPS,1063,Data Structures and ADT,MWF,1100am,1150am
11416,CMPS,2084,Intro Computer Architecture,MWF,1000am,1050am
11421,CMPS,2084,Intr Computer Architecture Lab,W,0100pm,0300pm
11424,CMPS,2143,Object-Oriented Programming,MWF,1100am,1150am
11425,CMPS,2433,Discrete Structures & Analysis,MWF,0900am,0950am
11428,CMPS,3013,Adv Structures & Algorithms,TR,1230pm,0150pm
14195,CMPS,3023,Logic Design,TR,1100am,1220pm
14340,CMPS,3603,Programming for Data Science,,,
14596,CMPS,3613,System Fundamentals,,,
11430,CMPS,4103,Intro Operating Systems,MWF,0900am,0950am
14599,CMPS,4123,Database Managements Systems,TR,0930am,1050am
14460,CMPS,4143,TopContProgLang:Java/Python,MW,0200pm,0320pm
14750,CMPS,4543,TopDataSci:CmptlThink&DataSci,TR,1100am,1220pm
14597,CMPS,4553,TopCMPTSc:CmptlThinkg&DataSci,TR,1100am,1220pm
14747,CMPS,4663,TopCompNtwkSec:Ntwk Security,MWF,1100am,1150am
11989,CMPS,4773,Internship in Computer Science,,,
14598,CMPS,4883,TopinCMPS: Programming Tech,MWF,1200pm,1250pm
14768,CMPS,4993,Ind Study in Computer Science,,,
11450,CMPS,5113,Adv Programming Lang Concepts,TR,1230pm,0150pm
11452,CMPS,5133,Adv Computer Architecture,MW,0200pm,0320pm
13153,CMPS,5143,Adv Operating Systems,TR,0200pm,0320pm
14595,CMPS,5303,Adv Database Mgmt Systems,MW,0400pm,0520pm
14593,CMPS,5383,GradTopics: Adv OOP,TR,0330pm,0450pm
14594,CMPS,5433,GradTopParall&DistribSys: GPUs,MW,0100pm,0220pm
14201,CMPS,5993,Ind Grad Study in Computer Sci,,,
11017,GEOS,1134,Physical Geology,MWF,1000am,1050am
14248,GEOS,1134,Physical Geology,MWF,1000am,1050am
11020,GEOS,1134,Physical Geology Lab,M,0100pm,0250pm
11022,GEOS,1134,Physical Geology Lab,W,0100pm,0250pm
13071,GEOS,1134,Physical Geology-Lab,R,0100pm,0250pm
14249,GEOS,1134,Physical Geology Lab,M,0100pm,0250pm
14705,GEOS,1134,Physical Geology-Honors,MWF,1000am,1050am
14706,GEOS,1134,Physical Geology Lab - Honors,M,0100pm,0250pm
14751,GEOS,1134,Physical Geology,,,
14752,GEOS,1134,Physical Geology - Lab,,,
11026,GEOS,1234,Historical Geology,MWF,1100am,1150am
11029,GEOS,1234,Historical Geology Lab,T,0100pm,0250pm
11031,GEOS,1234,Historical Geology Lab,W,0100pm,0250pm
11036,GEOS,1234,Historical Geology Lab,R,0300pm,0450pm
14753,GEOS,1234,Historical Geology,,,
14754,GEOS,1234,Historical Geology-Lab,,,
13076,GEOS,3044,Geographic Info Systems (GIS),TR,0830am,0920am
13077,GEOS,3044,Geographic Info Sys (GIS)-Lab,TR,0930am,1120am
11038,GEOS,3134,Mineralogy,MWF,1100am,1150am
11039,GEOS,3134,Mineralogy Lab,F,0100pm,0250pm
14577,GEOS,4534,Sedimentology & Stratigraphy,MWF,0900am,0950am
14578,GEOS,4534,Sedimentology&Stratigraphy-Lab,W,0100pm,0250pm
14707,GEOS,4734,Hydrology,MW,0500pm,0620pm
14708,GEOS,4734,Hydrology - Lab,W,0300pm,0450pm
14580,GEOS,4834,Solid Earth & Explor Geophys,TR,0100pm,0220pm
14581,GEOS,4834,Solid Earth&Explor Geophys-Lab,T,0230pm,0420pm
14125,GEOS,4911,Ind Study in Geo Sci/Env Sci,,,
11056,GEOS,4912,Ind Study in Geo Sci/Env Sci,,,
11057,GEOS,4913,Ind Study in Geo Sci/Env Sci,,,
14709,GEOS,5333,Stratigraphic Concepts & Apps,TR,0500pm,0620pm
14710,GEOS,5333,StratigraphicConcepts&Apps-Lab,R,0300pm,0450pm
14119,GEOS,5911,Ind Grad Study in Geosciences,,,
12571,GEOS,5912,Ind Grad Study in Geosciences,,,
14237,GEOS,5913,Ind Grad Study in Geosciences,,,
11071,GEOS,6001,Grad Seminar in Geosciences,M,0400pm,0450pm
11073,GEOS,6983,Thesis I,,,
14584,GEOS,6983,Thesis I,,,
14585,GEOS,6983,Thesis I,,,
13482,GEOS,6983,Thesis I,,,
13483,GEOS,6983,Thesis I,,,
11076,GEOS,6993,Thesis II,,,
12596,GEOS,6993,Thesis II,,,
14586,GEOS,6993,Thesis II,,,
13808,GEOS,6993,Thesis II,,,
14469,GEOS,6993,Thesis II,,,
11200,MATH,3,Beginning Algebra,MWF,0800am,0850am
11203,MATH,3,Beginning Algebra,MWF,1000am,1050am
12919,MATH,3,Beginning Algebra,MWF,1000am,1050am
12936,MATH,3,Beginning Algebra,MWF,1100am,1150am
14635,MATH,3,Beginning Algebra,MWF,1100am,1150am
13193,MATH,3,Beginning Algebra,MWF,0100pm,0150pm
13192,MATH,3,Beginning Algebra,MWF,0200pm,0250pm
13347,MATH,3,Beginning Algebra,MWF,0200pm,0250pm
14034,MATH,3,Beginning Algebra,MW,0330pm,0450pm
14636,MATH,3,Beginning Algebra,TR,0330pm,0450pm
14112,MATH,3,Beginning Algebra,,,
14637,MATH,3,Beginning Algebra,,,
11216,MATH,53,Developmntl Supplmnt-Cont Math,TR,0800am,0920am
11219,MATH,53,Developmntl Supplmnt-Cont Math,TR,0930am,1050am
11222,MATH,53,Developmntl Supplmnt-Cont Math,TR,1100am,1220pm
13323,MATH,53,Developmntl Supplmnt-Cont Math,TR,1230pm,0150pm
14180,MATH,53,Developmntl Supplmnt-Cont Math,TR,0200pm,0320pm
14639,MATH,53,Developmntl Supplmnt-Cont Math,TR,0200pm,0320pm
12702,MATH,203,Developmntl Supplmnt-Math Busn,TR,0800am,0920am
11920,MATH,233,Developmntl Supplmnt-Coll Algb,TR,0800am,0920am
12416,MATH,233,Developmntl Supplmnt-Coll Algb,TR,0930am,1050am
11236,MATH,1053,Contemporary Mathematics,MWF,0800am,0850am
11240,MATH,1053,Contemporary Mathematics,MWF,1000am,1050am
12922,MATH,1053,Contemporary Mathematics,TR,0800am,0920am
14035,MATH,1053,Contemporary Mathematics,TR,0930am,1050am
14638,MATH,1053,Contemporary Mathematics,TR,0930am,1050am
11255,MATH,1053,Contemporary Mathematics,MWF,0800am,0850am
11264,MATH,1053,Contemporary Mathematics,MWF,0900am,0950am
11260,MATH,1053,Contemporary Mathematics,MWF,1100am,1150am
13324,MATH,1053,Contemporary Mathematics,MWF,1200pm,1250pm
14181,MATH,1053,Contemporary Mathematics,MWF,0200pm,0250pm
14640,MATH,1053,Contemporary Mathematics,MWF,0200pm,0250pm
11316,MATH,1203,Math Analysis for Business,TR,0800am,0920am
14641,MATH,1203,Math Analysis for Business,TR,1100am,1220pm
12704,MATH,1203,Math Analysis for Business,MWF,0800am,0850am
11331,MATH,1233,College Algebra,MWF,0900am,0950am
11333,MATH,1233,College Algebra,MWF,0900am,0950am
11342,MATH,1233,College Algebra,MWF,0900am,0950am
14642,MATH,1233,College Algebra,MWF,0200pm,0250pm
11328,MATH,1233,College Algebra,MWF,1000am,1050am
11351,MATH,1233,College Algebra,MWF,1000am,1050am
12532,MATH,1233,College Algebra,MWF,1100am,1150am
14182,MATH,1233,College Algebra,MWF,0100pm,0150pm
14183,MATH,1233,College Algebra,MWF,0200pm,0250pm
14643,MATH,1233,College Algebra,TR,1100am,1220pm
14644,MATH,1233,College Algebra,TR,1100am,1220pm
14645,MATH,1233,College Algebra,TR,0200pm,0320pm
11926,MATH,1233,College Algebra,MWF,0800am,0850am
12422,MATH,1233,College Algebra,MWF,0900am,0950am
11357,MATH,1233,College Algebra,,,
14453,MATH,1233,College Algebra,,,
11359,MATH,1433,Plane Trigonometry,MWF,1100am,1150am
11360,MATH,1433,Plane Trigonometry,MWF,0100pm,0150pm
11363,MATH,1433,Plane Trigonometry,TR,0930am,1050am
14184,MATH,1534,Precalculus,M,1200pm,1250pm
14184,MATH,1534,Precalculus,TR,1230pm,0150pm
11367,MATH,1634,Calculus I,MF,0800am,0850am
11367,MATH,1634,Calculus I,TR,0800am,0850am
11370,MATH,1634,Calculus I,MF,1200pm,1250pm
11370,MATH,1634,Calculus I,TR,1230pm,0120pm
11375,MATH,1734,Calculus II,MF,1200pm,1250pm
11375,MATH,1734,Calculus II,TR,1230pm,0120pm
14405,MATH,1734,Calculus II,MF,1200pm,1250pm
14405,MATH,1734,Calculus II,TR,1230pm,0120pm
11382,MATH,2043,Structure of Number Sys II,TR,1100am,1220pm
11385,MATH,2534,Calculus III,MF,1200pm,1250pm
11385,MATH,2534,Calculus III,TR,1230pm,0120pm
11392,MATH,2753,Linear Algebra,MWF,1000am,1050am
14646,MATH,3133,Foundations of Geometry,MWF,0100pm,0150pm
14186,MATH,3433,Differential Equations,MWF,1000am,1050am
11397,MATH,3753,Vector Spaces,MWF,1100am,1150am
14647,MATH,4143,Mathematical Statistics,MWF,0900am,0950am
14648,MATH,4453,Theory of Numbers,MWF,0100pm,0150pm
12009,PHYS,1144,College Physics I,MWF,0100pm,0150pm
12010,PHYS,1144,General Physics I Lab,T,0300pm,0450pm
12011,PHYS,1144,General Physics I Lab,M,0200pm,0350pm
14209,PHYS,1244,College Physics II Lab,F,0200pm,0350pm
14208,PHYS,1244,College Physics II,,,
11302,PHYS,1533,Descriptive Astronomy,,,
11304,PHYS,1533,Descriptive Astronomy Lab,,,
11324,PHYS,1624,University Physics I,TR,0930am,1050am
11329,PHYS,1624,University Physics I Lab,M,0200pm,0350pm
11335,PHYS,1624,University Physics I Lab,T,0300pm,0450pm
14210,PHYS,2644,University Physics II,TR,1100am,1220pm
14211,PHYS,2644,University Physics II Lab,F,0200pm,0350pm
13805,PHYS,2911,Independent Lab,,,
14711,PHYS,4943,AdvPhysTop-Classical Mechanics,TR,0500pm,0620pm
11411,STAT,3573,Probability & Statistics,TR,0800am,0920am
11413,STAT,3573,Probability & Statistics,TR,0930am,1050am
